"","region","process","commodity","direction","process_description","commodity_description"
"1","reg2","elctnoil00","elcoil","in","power plants existing00 - crude oil and petroleum products","electricity plants crude oil"
"2","reg2","expnap1","nap","in","export of naphtha step 1","naphtha"
"3","reg1","impgas1","gas","out","import of natural gas step 1","natural gas"
"4","reg1","mingas3","gas","out","domestic supply of natural gas step 3","natural gas"
"5","reg2","refeoil00","gsl","out","refinery existing00","motor spirit"
"6","reg1","impnrgz","rsdgas","out","dummy import of nrg","residential natural gas"
"7","impexp","impnrgz","tradsl","in","dummy import of nrg","transport diesel oil"
"8","impexp","impnrgz","elccoa","in","dummy import of nrg","electricity plants solid fuels"
"9","reg2","impnrgz","oil","out","dummy import of nrg","crude oil"
"10","reg2","elctegas00","elc","out","power plants existing00 - natural gas","electricity"
"11","reg2","elctegas00","elc","out","power plants existing00 - natural gas","elc"
"12","reg1","impnrgz","rnw","out","dummy import of nrg","renewable energies"
"13","reg1","elcteoil00","elcoil","in","power plants existing00 - crude oil","electricity plants crude oil"
"14","reg2","impgas1","gas","out","import of natural gas step 1","natural gas"
"15","reg2","tcarelpg","traco2","out","demand technologies transport sector -  existing cars - lpg","transport carbon dioxide"
"16","reg1","fte-tragsl","tragsl","out","sector fuel technology existing transport motor spirit","transport motor spirit"
"17","reg2","mingas1","gas","out","domestic supply of natural gas step 1","natural gas"
"18","reg1","minoil2","oil","out","domestic supply of crude oil step 2","crude oil"
"19","reg1","expnap1","nap","in","export of naphtha step 1","naphtha"
"20","reg2","minoil1","oil","out","domestic supply of crude oil step 1","crude oil"
"21","reg2","mincoa2","coa","out","domestic supply of solid fuels step 2","solid fuels"
"22","reg1","mingas2","gas","out","domestic supply of natural gas step 2","natural gas"
"23","reg1","impnrgz","trahfo","out","dummy import of nrg","transport heavy fuel oil"
"24","reg1","fte-tradsl","tradsl","out","sector fuel technology existing transport diesel oil","transport diesel oil"
"25","reg2","impnap1","nap","out","import of naphtha step 1","naphtha"
"26","reg1","tcarnelc","dtcar","out","demand technologies transport sector -   cars - electricity","demand transport sector - cars"
"27","impexp","impnrgz","oil","in","dummy import of nrg","crude oil"
"28","reg2","elctngas00","elcco2","out","power plants existing00 - natural gas","electricity plants carbon dioxide"
"29","reg2","impnrgz","ker","out","dummy import of nrg","kerosenes"
"30","reg2","fte-tragas","gas","in","sector fuel technology existing transport natural gas","natural gas"
"31","reg2","fte-traelc","traelc","out","sector fuel technology existing transport electricity","transport electricity"
"32","reg1","expgsl1","gsl","in","export of motor spirit step 1","motor spirit"
"33","reg2","tcarnelc","dtcar","out","demand technologies transport sector -   cars - electricity","demand transport sector - cars"
"34","reg1","rotegas","drot","out","demand technologies residential sector -  existing other - natural gas","demand residential sector - other"
"35","reg2","fte-elcoil","dsl","in","sector fuel technology existing electricity plants crude oil","diesel oil"
"36","reg2","elcnenuc00","elc","out","power plants existing00 - renewable energies","electricity"
"37","reg2","elcnenuc00","elc","out","power plants existing00 - renewable energies","elc"
"38","reg1","fte-elccoa","elccoa","out","sector fuel technology existing electricity plants solid fuels","electricity plants solid fuels"
"39","reg1","fte-elcoil","dsl","in","sector fuel technology existing electricity plants crude oil","diesel oil"
"40","reg2","tcaredsl","dtcar","out","demand technologies transport sector -  existing cars - diesel oil","demand transport sector - cars"
"41","impexp","impnrgz","tragsl","in","dummy import of nrg","transport motor spirit"
"42","reg1","elctncoa00","elccoa","in","power plants existing00 - solid fuels","electricity plants solid fuels"
"43","reg2","tcarngsl","dtcar","out","demand technologies transport sector -   cars - motor spirit","demand transport sector - cars"
"44","reg2","elctegas00","elcco2","out","power plants existing00 - natural gas","electricity plants carbon dioxide"
"45","reg2","refeoil00","opp","out","refinery existing00","other petroleum products"
"46","reg2","dtpselc","elc","in","demand technology total primary supply - elc","electricity"
"47","reg2","dtpselc","elc","in","demand technology total primary supply - elc","elc"
"48","reg2","impopp1","opp","out","import of other petroleum products step 1","other petroleum products"
"49","reg1","fte-elcnuc","elcnuc","out","sector fuel technology existing electricity plants nuclear energy","electricity plants nuclear energy"
"50","reg2","mincoa3","coa","out","domestic supply of solid fuels step 3","solid fuels"
"51","reg1","mincoa2","coa","out","domestic supply of solid fuels step 2","solid fuels"
"52","reg1","impnrgz","hfo","out","dummy import of nrg","heavy fuel oil"
"53","reg1","impnrgz","nap","out","dummy import of nrg","naphtha"
"54","reg2","rotngas","drot","out","demand technologies residential sector -  new other - natural gas","demand residential sector - other"
"55","reg2","fte-tragsl","tragsl","out","sector fuel technology existing transport motor spirit","transport motor spirit"
"56","reg2","impnrgz","gsl","out","dummy import of nrg","motor spirit"
"57","reg2","fte-traelc","elc","in","sector fuel technology existing transport electricity","electricity"
"58","reg2","fte-traelc","elc","in","sector fuel technology existing transport electricity","elc"
"59","reg2","expopp1","opp","in","export of other petroleum products step 1","other petroleum products"
"60","reg2","impnrgz","nap","out","dummy import of nrg","naphtha"
